Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
2,4,2,10,7.8,9,31,,211,,5,7
2,4,2,10.9,8.2,9.7,29,,225,,5,7
2,4,2,10.8,8.2,9.6,29,,225,,5,7
2,4,2,11.2,8.7,10.1,28,,237,,5,7
3.6,6,1,12.9,9.2,11.2,25,,263,,4,6
2,4,2,11.2,9,10.2,28,,239,,5,7
3.6,6,1,13.1,9.5,11.5,25,,269,,4,6
2,4,1,10.6,8,9.4,30,,221,,5,7
3.6,6,1,12.3,8.8,10.7,26,,252,,5,6
2,4,1,10.8,8.7,9.9,29,,232,,5,7
3.6,6,1,12.6,9.2,11,26,,259,,4,6
2,4,2,10.9,7.8,9.5,30,,222,,5,5
2,4,2,12.6,8,10.5,27,,239,,5,5
3.6,6,1,12.8,8.1,10.7,26,,251,,5,6
3.6,6,1,14.4,9.1,12,24,,281,,4,6
6.2,8,2,14.6,8.9,12,24,,281,,4,1
6.2,8,2,14.9,9.9,12.6,22,,296,,4,1
6.2,8,2,18.3,11.2,15.1,19,,355,,3,1
6.2,8,2,17.2,12,14.9,19,,349,,3,1
2.5,4,1,12.2,9.4,10.9,26,,257,,5,6
2.8,4,3,11.8,7.9,10.1,28,,270,,4,3
3.6,6,1,12.9,9.3,11.3,25,,263,,4,6
2.5,4,1,12.6,9.9,11.4,25,,267,,4,6
2.8,4,3,12.2,8.4,10.5,27,,283,,4,3
3.6,6,1,14,9.9,12.1,23,,283,,4,6
2.8,4,3,13.3,10.6,12.1,23,,326,,3,3
3.6,6,1,15,13,14.1,20,,329,,3,6
6.2,8,2,15.1,9.6,12.6,22,,297,,4,5
1.5,4,1,8.9,7.7,8.4,34,,198,,6,7
1.5,4,1,9.4,8,8.8,32,,208,,6,7
1.5,4,1,8.2,6.6,7.5,38,,175,,7,7
2,4,2,10.7,7.1,9.1,31,,213,,5,5
2.7,4,1,12.5,10.6,11.6,24,,274,,4,6
3,6,3,10.2,7.5,8.9,32,,240,,5,3
5.3,8,1,16.2,12.3,14.5,19,,341,,3,3
5.3,8,E,21.5,16,19.1,15,,321,,3,3
5.3,8,1,15.1,11.3,13.4,21,,314,,3,6
5.3,8,1,14.4,11.3,13,22,,304,,3,6
